date,AUD/USD_O,AUD/USD_H,AUD/USD_L,AUD/USD_C
2019-12-08,0.6838,0.6838,0.6831,0.6832
2019-12-06,0.6832,0.6857,0.682,0.6838
2019-12-05,0.6845,0.6855,0.6817,0.6832
2019-12-04,0.6848,0.6855,0.6809,0.6845
2019-12-03,0.6817,0.6862,0.6811,0.6848
2019-12-02,0.6764,0.6826,0.6758,0.6817
2019-12-01,0.6756,0.6773,0.6754,0.6764
2019-11-29,0.6766,0.678,0.6751,0.6762
2019-11-28,0.6775,0.6776,0.6756,0.6766
2019-11-27,0.6784,0.6791,0.6768,0.6775
2019-11-26,0.6776,0.6795,0.6767,0.6784
2019-11-25,0.6788,0.6799,0.6764,0.6776
2019-11-24,0.6798,0.6798,0.6784,0.6788
2019-11-22,0.6787,0.6804,0.6777,0.6789
2019-11-21,0.6794,0.6814,0.678,0.6786
2019-11-20,0.6824,0.6826,0.6786,0.6794
2019-11-19,0.6806,0.6835,0.6781,0.6824
2019-11-18,0.6812,0.6822,0.6795,0.6805
2019-11-17,0.6811,0.682,0.6806,0.6813
2019-11-15,0.6786,0.6822,0.6777,0.6815
2019-11-14,0.6834,0.6841,0.6766,0.6785
2019-11-13,0.6838,0.6858,0.6817,0.6833
2019-11-12,0.6845,0.6857,0.6828,0.6838
2019-11-11,0.6856,0.6865,0.6842,0.6846
2019-11-10,0.6866,0.6867,0.6852,0.6855
2019-11-08,0.6891,0.6906,0.6844,0.6867
2019-11-07,0.6881,0.6913,0.6858,0.689
2019-11-06,0.6892,0.6907,0.6865,0.688
2019-11-05,0.6876,0.6928,0.6874,0.6892
2019-11-04,0.6908,0.6925,0.6873,0.6877
2019-11-03,0.6908,0.692,0.6904,0.6909
2019-11-01,0.6888,0.6922,0.688,0.6913
2019-10-31,0.69,0.693,0.6879,0.6888
2019-10-30,0.6858,0.6905,0.6845,0.6899
2019-10-29,0.6836,0.6872,0.6833,0.6858
2019-10-28,0.6821,0.6845,0.6808,0.6836
2019-10-27,0.6822,0.6826,0.6815,0.6821
2019-10-25,0.6814,0.6836,0.6806,0.6819
2019-10-24,0.6852,0.6858,0.6808,0.6814
2019-10-23,0.6858,0.6863,0.6831,0.6852
2019-10-22,0.6864,0.6883,0.6847,0.6858
2019-10-21,0.6845,0.6881,0.6842,0.6864
2019-10-20,0.6855,0.6855,0.6836,0.6845
2019-10-18,0.6825,0.6857,0.6818,0.6856
2019-10-17,0.6755,0.6833,0.6749,0.6825
2019-10-16,0.675,0.6766,0.672,0.6755
2019-10-15,0.6777,0.6789,0.6739,0.6746
2019-10-14,0.6794,0.6802,0.6747,0.6777
2019-10-13,0.6784,0.6798,0.6782,0.6794
2019-10-11,0.6761,0.6811,0.6755,0.6794
2019-10-10,0.6712,0.6774,0.6706,0.6761
2019-10-09,0.6727,0.675,0.6708,0.6712
2019-10-08,0.6731,0.6757,0.6719,0.6728
2019-10-07,0.676,0.6765,0.6726,0.6731
2019-10-06,0.6768,0.6768,0.6745,0.676
2019-10-04,0.6746,0.6774,0.6735,0.6768
2019-10-03,0.6706,0.6753,0.6699,0.6745
