date,EUR/AUD_O,EUR/AUD_H,EUR/AUD_L,EUR/AUD_C
2019-12-08,1.6162,1.6177,1.6162,1.6168
2019-12-06,1.6248,1.6257,1.6143,1.6162
2019-12-05,1.6178,1.6268,1.6162,1.6251
2019-12-04,1.6182,1.6261,1.6151,1.6182
2019-12-03,1.6246,1.6252,1.6141,1.6181
2019-12-02,1.6291,1.6293,1.6207,1.6246
2019-12-01,1.6291,1.6298,1.6269,1.6291
2019-11-29,1.6271,1.6315,1.6216,1.6286
2019-11-28,1.6243,1.6288,1.623,1.627
2019-11-27,1.6243,1.626,1.6206,1.6243
2019-11-26,1.6251,1.6274,1.6213,1.6247
2019-11-25,1.6236,1.6267,1.6205,1.6251
2019-11-24,1.6228,1.6238,1.6202,1.6236
2019-11-22,1.6293,1.6316,1.6218,1.6231
2019-11-21,1.6296,1.6324,1.6263,1.6296
2019-11-20,1.6231,1.6304,1.6214,1.63
2019-11-19,1.6264,1.6307,1.6204,1.6231
2019-11-18,1.6216,1.627,1.6205,1.6266
2019-11-17,1.6223,1.623,1.619,1.6219
2019-11-15,1.6242,1.6265,1.6193,1.6205
2019-11-14,1.6107,1.6261,1.6086,1.6242
2019-11-13,1.6099,1.6145,1.6053,1.6106
2019-11-12,1.6113,1.614,1.6074,1.6099
2019-11-11,1.6072,1.6118,1.6055,1.6113
2019-11-10,1.6055,1.6076,1.6051,1.6072
2019-11-08,1.6034,1.6095,1.5991,1.6042
2019-11-07,1.6082,1.6117,1.5968,1.6034
2019-11-06,1.6068,1.611,1.6039,1.6083
2019-11-05,1.6173,1.6181,1.6036,1.6068
2019-11-04,1.6156,1.6179,1.6117,1.6172
2019-11-03,1.6162,1.6165,1.6131,1.616
2019-11-01,1.6191,1.6197,1.6126,1.6141
2019-10-31,1.6164,1.6209,1.6108,1.619
2019-10-30,1.6203,1.6219,1.6144,1.6164
2019-10-29,1.6233,1.6235,1.6161,1.6202
2019-10-28,1.6245,1.6272,1.6208,1.6233
2019-10-27,1.6245,1.6251,1.6225,1.6245
2019-10-25,1.6295,1.6304,1.6204,1.6239
2019-10-24,1.6246,1.631,1.6237,1.6295
2019-10-23,1.623,1.6271,1.6209,1.6246
2019-10-22,1.6243,1.625,1.6198,1.623
2019-10-21,1.6298,1.6298,1.6212,1.6243
2019-10-20,1.6283,1.6305,1.6235,1.6298
2019-10-18,1.63,1.6306,1.6253,1.6305
2019-10-17,1.6394,1.64,1.6253,1.63
2019-10-16,1.6344,1.6433,1.6329,1.6395
2019-10-15,1.627,1.635,1.6237,1.6344
2019-10-14,1.6232,1.6352,1.6217,1.627
2019-10-13,1.628,1.628,1.6222,1.6233
2019-10-11,1.628,1.629,1.6197,1.6239
2019-10-10,1.6364,1.637,1.626,1.628
2019-10-09,1.6285,1.6365,1.625,1.6364
2019-10-08,1.6299,1.6314,1.6245,1.6285
2019-10-07,1.6244,1.6317,1.6227,1.6299
2019-10-06,1.6254,1.6274,1.6208,1.6244
2019-10-04,1.626,1.6283,1.62,1.6209
2019-10-03,1.6342,1.6348,1.6253,1.6265
2019-10-02,1.6306,1.6368,1.6271,1.6342
2019-10-01,1.6144,1.634,1.6074,1.6306
2019-09-30,1.619,1.6215,1.6113,1.6144
2019-09-29,1.6172,1.6198,1.6163,1.619
2019-09-27,1.6177,1.622,1.6125,1.6158
2019-09-26,1.6211,1.6237,1.6137,1.6177
2019-09-25,1.6201,1.6284,1.6163,1.6211
2019-09-24,1.6232,1.6241,1.6148,1.6201
2019-09-23,1.6271,1.6285,1.6194,1.6232
2019-09-22,1.6265,1.6286,1.6243,1.6275
2019-09-20,1.6248,1.6298,1.6222,1.6271
2019-09-19,1.6157,1.6302,1.6145,1.6252
2019-09-18,1.6127,1.6183,1.6118,1.6156
2019-09-17,1.6021,1.6138,1.6012,1.6127
2019-09-16,1.6101,1.6132,1.6009,1.6021
2019-09-15,1.6104,1.6138,1.609,1.6101
2019-09-13,1.6114,1.6167,1.6062,1.6092
2019-09-12,1.6045,1.6128,1.5899,1.6113
2019-09-11,1.61,1.6129,1.6006,1.6046
2019-09-10,1.6095,1.6119,1.6069,1.6103
2019-09-09,1.6097,1.6121,1.6042,1.6094
2019-09-08,1.6119,1.6138,1.6088,1.6096
2019-09-06,1.6194,1.6204,1.6086,1.6111
2019-09-05,1.6233,1.6242,1.6152,1.6198
2019-09-04,1.6221,1.6247,1.6172,1.6237
2019-09-03,1.633,1.6352,1.6213,1.6224
2019-09-02,1.6334,1.6352,1.629,1.6334
2019-09-01,1.6337,1.6369,1.6314,1.6334
2019-08-30,1.6426,1.6474,1.6293,1.6325
2019-08-29,1.6452,1.6502,1.6389,1.6431
2019-08-28,1.642,1.6466,1.6392,1.6452
2019-08-27,1.6382,1.647,1.6373,1.6424
2019-08-26,1.6651,1.6655,1.6357,1.6385
2019-08-25,1.6549,1.668,1.652,1.6654
2019-08-23,1.6397,1.6526,1.6351,1.6488
2019-08-22,1.6348,1.642,1.6333,1.6397
2019-08-21,1.6375,1.6385,1.6316,1.6348
2019-08-20,1.6378,1.6407,1.6303,1.6375
2019-08-19,1.6352,1.6409,1.6329,1.6381
2019-08-18,1.6352,1.6365,1.6305,1.6351
2019-08-16,1.6397,1.6409,1.6301,1.635
2019-08-15,1.6506,1.6514,1.6351,1.6402
2019-08-14,1.6438,1.6594,1.6409,1.6505
2019-08-13,1.6607,1.662,1.6386,1.6442
2019-08-12,1.651,1.6624,1.647,1.661
2019-08-11,1.6502,1.6519,1.6493,1.6513
2019-08-09,1.6449,1.6522,1.64,1.6495
2019-08-08,1.6564,1.6606,1.642,1.6449
2019-08-07,1.6563,1.6787,1.6523,1.6568
2019-08-06,1.6593,1.6626,1.6451,1.6563
2019-08-05,1.6353,1.6617,1.634,1.6593
2019-08-04,1.6336,1.6358,1.6328,1.6354
2019-08-02,1.6285,1.6392,1.6249,1.6331
2019-08-01,1.6176,1.6315,1.61,1.6285
2019-07-31,1.6225,1.6248,1.6139,1.6176
2019-07-30,1.6147,1.6233,1.6121,1.6229
2019-07-29,1.6107,1.6156,1.6085,1.6147
2019-07-28,1.6087,1.6112,1.608,1.6106
2019-07-26,1.6036,1.6111,1.6021,1.6093
2019-07-25,1.5967,1.6091,1.5915,1.6035
2019-07-24,1.5926,1.5976,1.5919,1.5967
2019-07-23,1.5937,1.5947,1.5887,1.5925
2019-07-22,1.5932,1.5954,1.5888,1.5937
2019-07-21,1.592,1.5938,1.591,1.5931
2019-07-19,1.594,1.5949,1.5889,1.5927
2019-07-18,1.6015,1.6034,1.5916,1.594
2019-07-17,1.5986,1.6035,1.5965,1.6015
2019-07-16,1.5991,1.601,1.5938,1.5986
2019-07-15,1.6051,1.6073,1.5982,1.5991
2019-07-14,1.6062,1.607,1.6039,1.6055
2019-07-12,1.614,1.6142,1.6038,1.6054
2019-07-11,1.6166,1.6191,1.611,1.614
2019-07-10,1.6174,1.6231,1.6146,1.6166
2019-07-09,1.6082,1.619,1.6075,1.6174
2019-07-08,1.6078,1.6097,1.6043,1.6081
2019-07-07,1.6087,1.6105,1.6063,1.6083
2019-07-05,1.6059,1.6111,1.603,1.6076
2019-07-04,1.6046,1.6082,1.6018,1.6062
2019-07-03,1.614,1.6166,1.6019,1.6046
2019-07-02,1.6199,1.6209,1.6122,1.6144
2019-07-01,1.617,1.6259,1.6164,1.6201
2019-06-30,1.6178,1.6184,1.6139,1.6171
2019-06-28,1.6228,1.6255,1.6177,1.6195
2019-06-27,1.6281,1.6283,1.6209,1.6227
2019-06-26,1.6331,1.6338,1.6234,1.628
2019-06-25,1.6357,1.64,1.6308,1.6335
2019-06-24,1.6403,1.6412,1.6341,1.6361
2019-06-23,1.6402,1.6413,1.6388,1.6404
2019-06-21,1.6318,1.6418,1.628,1.6406
2019-06-20,1.6313,1.6364,1.6289,1.6318
2019-06-19,1.628,1.6344,1.6258,1.6314
2019-06-18,1.6371,1.6448,1.6267,1.6279
2019-06-17,1.6312,1.6388,1.6291,1.6371
2019-06-16,1.6315,1.6327,1.6293,1.6312
2019-06-14,1.6305,1.6364,1.6295,1.6303
2019-06-13,1.6292,1.6363,1.6272,1.6309
2019-06-12,1.627,1.6327,1.6262,1.6292
2019-06-11,1.6254,1.6288,1.6236,1.6274
2019-06-10,1.6178,1.6265,1.617,1.6254
2019-06-09,1.6157,1.6187,1.6113,1.6178
2019-06-07,1.6163,1.6198,1.6138,1.6188
2019-06-06,1.611,1.6179,1.6072,1.6163
2019-06-05,1.6098,1.6151,1.6075,1.611
2019-06-04,1.6117,1.6162,1.6071,1.6097
2019-06-03,1.6113,1.6136,1.6061,1.6121
2019-06-02,1.6114,1.6121,1.6076,1.6112
2019-05-31,1.6106,1.6145,1.6062,1.6103
2019-05-30,1.6097,1.6125,1.6043,1.6105
2019-05-29,1.6127,1.6139,1.608,1.6097
2019-05-28,1.6175,1.6182,1.6105,1.6128
2019-05-27,1.617,1.6188,1.6146,1.6176
2019-05-26,1.6178,1.6182,1.6138,1.6174
2019-05-24,1.6202,1.6247,1.6156,1.6177
2019-05-23,1.6212,1.6238,1.6168,1.6207
2019-05-22,1.6214,1.6239,1.6188,1.6212
2019-05-21,1.6162,1.6252,1.6116,1.6215
2019-05-20,1.6195,1.62,1.6089,1.6162
2019-05-19,1.6101,1.62,1.6069,1.6199
2019-05-17,1.6213,1.6262,1.6199,1.6234
2019-05-16,1.6171,1.6252,1.6163,1.6212
2019-05-15,1.6144,1.6205,1.6138,1.6171
2019-05-14,1.6171,1.6196,1.612,1.6144
2019-05-13,1.6073,1.6189,1.6063,1.6175
2019-05-12,1.6047,1.6078,1.6032,1.6073
2019-05-10,1.606,1.6084,1.5997,1.604
2019-05-09,1.6009,1.6121,1.5997,1.606
2019-05-08,1.5959,1.6019,1.5939,1.6009
2019-05-07,1.6021,1.6045,1.5901,1.5963
2019-05-06,1.5996,1.6064,1.598,1.6021
2019-05-05,1.6027,1.6041,1.5985,1.6
2019-05-03,1.5962,1.5995,1.5914,1.5932
2019-05-02,1.5962,1.5992,1.5933,1.5962
2019-05-01,1.5921,1.5989,1.5893,1.5962
2019-04-30,1.5851,1.5947,1.5825,1.5921
2019-04-29,1.5827,1.5855,1.5799,1.5851
2019-04-28,1.5833,1.5857,1.5808,1.583
2019-04-26,1.5866,1.588,1.5802,1.5834
2019-04-25,1.5906,1.5932,1.585,1.5866
2019-04-24,1.5813,1.5959,1.58,1.5905
2019-04-23,1.5774,1.5829,1.5766,1.5819
2019-04-22,1.5723,1.5789,1.5717,1.5774
2019-04-21,1.5731,1.5732,1.5702,1.5723
2019-04-19,1.5712,1.5736,1.5701,1.5717
2019-04-18,1.5743,1.5766,1.5691,1.5712
2019-04-17,1.5751,1.5771,1.5681,1.5748
2019-04-16,1.5758,1.5835,1.5713,1.5751
2019-04-15,1.5759,1.579,1.5738,1.5762
2019-04-14,1.5743,1.576,1.5731,1.5759
2019-04-12,1.5805,1.5853,1.5729,1.5748
2019-04-11,1.5722,1.5818,1.572,1.5804
2019-04-10,1.5813,1.5835,1.5707,1.5728
2019-04-09,1.5808,1.5824,1.5752,1.5813
2019-04-08,1.5789,1.5841,1.578,1.5808
2019-04-07,1.5795,1.5797,1.5766,1.5789
2019-04-05,1.5781,1.5815,1.5743,1.5778
2019-04-04,1.5793,1.5811,1.5746,1.5781
2019-04-03,1.5873,1.588,1.5755,1.5793
2019-04-02,1.5758,1.5875,1.5712,1.5874
2019-04-01,1.5792,1.5797,1.5739,1.5758
2019-03-31,1.579,1.5805,1.5742,1.5792
2019-03-29,1.5862,1.5874,1.5787,1.5802
2019-03-28,1.5875,1.5904,1.5828,1.5862
2019-03-27,1.5793,1.5917,1.5783,1.5874
2019-03-26,1.5911,1.5917,1.5774,1.5797
2019-03-25,1.596,1.5983,1.5896,1.5911
2019-03-24,1.5929,1.5963,1.5921,1.596
2019-03-22,1.5997,1.6021,1.5881,1.5944
2019-03-21,1.6025,1.6034,1.5943,1.5997
2019-03-20,1.6014,1.6078,1.5966,1.6022
2019-03-19,1.5974,1.6021,1.5942,1.6014
2019-03-18,1.5995,1.5997,1.5924,1.5973
2019-03-17,1.5981,1.5996,1.5964,1.5995
2019-03-15,1.6002,1.6009,1.5953,1.5962
2019-03-14,1.5982,1.6057,1.5966,1.6002
2019-03-13,1.5953,1.6012,1.5944,1.5981
2019-03-12,1.5923,1.5956,1.5888,1.5953
2019-03-11,1.596,1.5979,1.5894,1.5923
2019-03-10,1.5956,1.599,1.5938,1.596
2019-03-08,1.5947,1.6002,1.5925,1.5925
2019-03-07,1.6088,1.6111,1.5927,1.5947
2019-03-06,1.5965,1.6122,1.5935,1.6088
2019-03-05,1.5991,1.6038,1.5942,1.5965
2019-03-04,1.6022,1.6056,1.5965,1.5995
2019-03-03,1.6038,1.6057,1.5982,1.6026
2019-03-01,1.6019,1.6073,1.5976,1.6056
2019-02-28,1.5925,1.6046,1.5877,1.6019
2019-02-27,1.5838,1.5963,1.5813,1.5925
2019-02-26,1.5841,1.5901,1.5817,1.5838
2019-02-25,1.5861,1.5893,1.5803,1.5841
2019-02-24,1.5893,1.5914,1.5838,1.586
2019-02-22,1.5984,1.6002,1.5864,1.5898
2019-02-21,1.583,1.602,1.5736,1.5984
2019-02-20,1.5833,1.5867,1.581,1.583
2019-02-19,1.5871,1.5915,1.5809,1.5833
2019-02-18,1.5816,1.5874,1.5793,1.5871
2019-02-17,1.5806,1.5845,1.5804,1.5816
2019-02-15,1.5899,1.5941,1.5796,1.581
2019-02-14,1.5877,1.5946,1.5815,1.5899
2019-02-13,1.5967,1.5973,1.5855,1.5876
2019-02-12,1.5973,1.5983,1.5898,1.5968
2019-02-11,1.5961,1.5999,1.5923,1.5973
2019-02-10,1.5972,1.5982,1.594,1.5962
2019-02-08,1.5979,1.606,1.5957,1.5963
2019-02-07,1.5993,1.6015,1.5919,1.5979
2019-02-06,1.5759,1.6004,1.5736,1.5993
2019-02-05,1.5837,1.5898,1.5723,1.5759
2019-02-04,1.58,1.5859,1.5787,1.5837
2019-02-03,1.5815,1.5817,1.5786,1.5801
2019-02-02,1.5789,1.5789,1.5789,1.5789
2019-02-01,1.5741,1.5818,1.5722,1.5789
2019-01-31,1.585,1.5857,1.5715,1.574
2019-01-30,1.5989,1.5991,1.5799,1.5851
2019-01-29,1.5958,1.6006,1.5935,1.5989
2019-01-28,1.5888,1.597,1.5844,1.5958
2019-01-27,1.5891,1.5913,1.587,1.5888
2019-01-25,1.5944,1.5982,1.5873,1.5881
2019-01-24,1.5935,1.6038,1.5885,1.5943
2019-01-23,1.5951,1.5974,1.5886,1.5935
2019-01-22,1.5887,1.5966,1.5873,1.5951
2019-01-21,1.587,1.5915,1.5841,1.5887
2019-01-20,1.5824,1.5888,1.582,1.587
2019-01-18,1.5841,1.5881,1.5769,1.5847
2019-01-17,1.5888,1.5922,1.578,1.5841
2019-01-16,1.5834,1.5914,1.5799,1.5891
2019-01-15,1.5943,1.5945,1.5822,1.5839
2019-01-14,1.5897,1.5989,1.5884,1.5942
2019-01-13,1.5893,1.5902,1.5864,1.59
2019-01-11,1.6002,1.6024,1.5881,1.5883
2019-01-10,1.61,1.6154,1.5988,1.6005
2019-01-09,1.6027,1.6103,1.5963,1.6099
2019-01-08,1.6064,1.6076,1.5999,1.6026
2019-01-07,1.6023,1.6088,1.5991,1.6064
2019-01-06,1.6021,1.6037,1.5984,1.6023
2019-01-04,1.6265,1.6307,1.5996,1.6005
2019-01-03,1.6496,1.6566,1.6226,1.6265
2019-01-02,1.6269,1.6794,1.6184,1.6491
2019-01-01,1.6269,1.6282,1.6228,1.6268
2018-12-31,1.6242,1.6271,1.6156,1.6271
2018-12-30,1.6234,1.6265,1.6206,1.6241
2018-12-28,1.6261,1.6269,1.6197,1.6243
2018-12-27,1.6068,1.6316,1.6042,1.626
2018-12-26,1.6204,1.6228,1.6048,1.6067
2018-12-25,1.6166,1.6218,1.6117,1.6202
2018-12-24,1.615,1.6205,1.6099,1.6177
2018-12-23,1.6159,1.6185,1.6118,1.6151
2018-12-21,1.6097,1.6168,1.6019,1.614
2018-12-20,1.5987,1.6143,1.5968,1.6097
2018-12-19,1.5828,1.6038,1.5801,1.5987
2018-12-18,1.5816,1.5855,1.576,1.5828
2018-12-17,1.5754,1.5823,1.5742,1.5816
2018-12-16,1.5758,1.5764,1.5734,1.5754
2018-12-14,1.5726,1.5823,1.5712,1.5739
2018-12-13,1.5762,1.5765,1.5667,1.5725
2018-12-12,1.5718,1.5763,1.5666,1.576
2018-12-11,1.5781,1.5818,1.5693,1.5716
2018-12-10,1.5857,1.5885,1.5766,1.5783
2018-12-09,1.5869,1.5886,1.5828,1.5857
2018-12-07,1.5736,1.5846,1.5711,1.5814
2018-12-06,1.5607,1.5786,1.5598,1.5736
2018-12-05,1.5456,1.5625,1.5419,1.5607
2018-12-04,1.5434,1.5466,1.5397,1.5457
2018-12-03,1.5393,1.5443,1.5341,1.5433
2018-12-02,1.5397,1.5416,1.5364,1.5392
2018-11-30,1.556,1.5581,1.5461,1.5488
2018-11-29,1.5564,1.559,1.5501,1.5564
2018-11-28,1.5632,1.5635,1.5516,1.5564
2018-11-27,1.5701,1.5705,1.5592,1.5633
2018-11-26,1.5667,1.5703,1.5627,1.57
2018-11-25,1.5678,1.5707,1.5657,1.5668
2018-11-23,1.5725,1.5756,1.5643,1.5662
2018-11-22,1.5679,1.5758,1.5666,1.5727
2018-11-21,1.5776,1.5782,1.5657,1.5682
2018-11-20,1.5709,1.5781,1.5664,1.5777
2018-11-19,1.5611,1.5723,1.5572,1.5709
2018-11-18,1.5592,1.5618,1.5585,1.5611
2018-11-16,1.5561,1.5644,1.5547,1.5571
2018-11-15,1.5641,1.565,1.5517,1.5561
2018-11-14,1.5649,1.5694,1.562,1.564
2018-11-13,1.5643,1.5667,1.5569,1.5649
2018-11-12,1.5683,1.5689,1.5607,1.5643
2018-11-11,1.5665,1.5688,1.5664,1.5683
2018-11-09,1.5657,1.5697,1.5629,1.5684
