date,EUR/GBP_O,EUR/GBP_H,EUR/GBP_L,EUR/GBP_C
2019-12-08,0.8416,0.8433,0.8416,0.8417
2019-12-06,0.8438,0.8468,0.841,0.8416
2019-12-05,0.8453,0.8456,0.8429,0.8438
2019-12-04,0.8525,0.853,0.845,0.8453
2019-12-03,0.8559,0.8565,0.8511,0.8525
2019-12-02,0.8534,0.8575,0.8513,0.8557
2019-12-01,0.8527,0.8542,0.8523,0.8535
2019-11-29,0.8528,0.8543,0.8509,0.8518
2019-11-28,0.8501,0.8532,0.8499,0.8528
2019-11-27,0.8569,0.8584,0.8498,0.8501
2019-11-26,0.8537,0.858,0.8531,0.8569
2019-11-25,0.8577,0.8584,0.8529,0.8536
2019-11-24,0.858,0.8589,0.856,0.8577
2019-11-23,0.8591,0.8591,0.8591,0.8591
2019-11-22,0.8568,0.8605,0.856,0.8591
2019-11-21,0.8568,0.8581,0.8544,0.8568
2019-11-20,0.8568,0.8583,0.8558,0.8568
2019-11-19,0.8547,0.858,0.8536,0.8568
2019-11-18,0.8555,0.856,0.8521,0.8547
2019-11-17,0.8554,0.8568,0.8545,0.8555
2019-11-15,0.8555,0.8574,0.8549,0.8564
2019-11-14,0.8564,0.8582,0.8544,0.8555
2019-11-13,0.8569,0.8589,0.8557,0.8564
2019-11-12,0.8581,0.8606,0.8556,0.8567
2019-11-11,0.8615,0.8622,0.8557,0.8581
2019-11-10,0.8618,0.8626,0.8607,0.8614
2019-11-08,0.8622,0.863,0.8596,0.8623
2019-11-07,0.8609,0.8658,0.8601,0.8622
2019-11-06,0.8597,0.8617,0.8593,0.8608
2019-11-05,0.8633,0.8645,0.8584,0.8598
2019-11-04,0.8632,0.8646,0.862,0.8633
2019-11-03,0.8618,0.864,0.8618,0.863
2019-11-01,0.8622,0.8637,0.8594,0.863
2019-10-31,0.8643,0.8645,0.8599,0.8622
2019-10-30,0.8637,0.8646,0.861,0.8643
2019-10-29,0.8632,0.8651,0.8607,0.8638
2019-10-28,0.8636,0.8652,0.8614,0.8632
2019-10-27,0.8644,0.8653,0.863,0.8635
2019-10-25,0.8648,0.867,0.8629,0.8637
2019-10-24,0.8619,0.8676,0.8599,0.8648
2019-10-23,0.8629,0.866,0.8613,0.8618
2019-10-22,0.86,0.8647,0.8576,0.8629
2019-10-21,0.8645,0.8656,0.8577,0.8599
2019-10-20,0.8629,0.8661,0.8609,0.8645
2019-10-18,0.8641,0.8664,0.8597,0.862
2019-10-17,0.8639,0.8703,0.8574,0.8641
2019-10-16,0.8644,0.8716,0.8597,0.8639
2019-10-15,0.8747,0.8751,0.8623,0.8643
2019-10-14,0.8726,0.8811,0.8714,0.8746
2019-10-13,0.8744,0.8756,0.8721,0.8726
2019-10-11,0.8855,0.8868,0.8694,0.8726
