date,GBP/CAD_O,GBP/CAD_H,GBP/CAD_L,GBP/CAD_C
2019-12-08,1.7413,1.7413,1.7388,1.7407
2019-12-06,1.7342,1.7429,1.7274,1.7413
2019-12-05,1.7296,1.7349,1.7273,1.7339
2019-12-04,1.7274,1.7395,1.7259,1.7294
2019-12-03,1.722,1.7322,1.72,1.7271
2019-12-02,1.715,1.7226,1.7127,1.7218
2019-12-01,1.714,1.7151,1.7126,1.7149
2019-11-29,1.714,1.72,1.7116,1.7167
2019-11-28,1.7196,1.7214,1.713,1.7139
2019-11-27,1.7066,1.7201,1.7022,1.7196
2019-11-26,1.7155,1.7172,1.7052,1.7065
2019-11-25,1.7083,1.7188,1.7069,1.7154
2019-11-24,1.7095,1.7103,1.7076,1.7082
2019-11-22,1.7145,1.7173,1.7037,1.707
2019-11-21,1.72,1.727,1.7119,1.7144
2019-11-20,1.7144,1.7228,1.7125,1.7199
2019-11-19,1.7098,1.716,1.7066,1.7139
2019-11-18,1.7076,1.7169,1.7054,1.7093
2019-11-17,1.7072,1.7094,1.7061,1.7075
2019-11-15,1.7065,1.7096,1.7024,1.7057
2019-11-14,1.7033,1.7086,1.6999,1.7063
2019-11-13,1.7004,1.7059,1.6979,1.7032
2019-11-12,1.7007,1.7034,1.6968,1.6996
2019-11-11,1.6913,1.7057,1.6911,1.7006
2019-11-10,1.6904,1.6926,1.6897,1.6912
2019-11-08,1.6879,1.6968,1.6875,1.6901
2019-11-07,1.695,1.6958,1.6848,1.6879
2019-11-06,1.693,1.6988,1.6924,1.6949
2019-11-05,1.6946,1.6964,1.6896,1.693
2019-11-04,1.6996,1.7007,1.693,1.6947
2019-11-03,1.6992,1.7004,1.6971,1.6994
2019-11-01,1.7029,1.708,1.6988,1.6993
2019-10-31,1.6981,1.7082,1.6977,1.703
2019-10-30,1.6839,1.7,1.683,1.698
2019-10-29,1.6785,1.6878,1.6724,1.6839
2019-10-28,1.6757,1.6813,1.6743,1.6784
2019-10-27,1.6737,1.6759,1.6726,1.6756
2019-10-25,1.6781,1.681,1.6728,1.6744
2019-10-24,1.6886,1.6933,1.6727,1.6781
2019-10-23,1.6882,1.6896,1.6813,1.6884
2019-10-22,1.6968,1.7009,1.6836,1.6881
2019-10-21,1.6947,1.7064,1.6921,1.6968
2019-10-20,1.6953,1.7023,1.6908,1.6945
2019-10-18,1.6912,1.704,1.6867,1.7028
2019-10-17,1.6922,1.7094,1.6813,1.6911
2019-10-16,1.6848,1.6995,1.673,1.6922
2019-10-15,1.6678,1.6911,1.6668,1.6846
2019-10-14,1.6676,1.673,1.6535,1.6677
2019-10-13,1.6662,1.6695,1.6632,1.6676
2019-10-11,1.652,1.6821,1.6474,1.6689
2019-10-10,1.6298,1.6569,1.625,1.6519
2019-10-09,1.6287,1.6354,1.6231,1.6297
2019-10-08,1.6352,1.6356,1.6233,1.6286
2019-10-07,1.6417,1.6424,1.6347,1.6351
2019-10-06,1.639,1.6423,1.6354,1.6415
2019-10-05,1.6422,1.6422,1.6422,1.6422
2019-10-04,1.645,1.6471,1.6327,1.6422
2019-10-03,1.6394,1.6554,1.6336,1.6449
2019-10-02,1.6242,1.6407,1.619,1.6394
2019-10-01,1.627,1.6341,1.619,1.6243
2019-09-30,1.6268,1.6337,1.6254,1.6269
2019-09-29,1.6276,1.6298,1.6254,1.6268
2019-09-28,1.6275,1.6275,1.6275,1.6275
2019-09-27,1.6352,1.637,1.6256,1.6275
2019-09-26,1.6387,1.641,1.6303,1.6352
2019-09-25,1.654,1.6554,1.6366,1.6387
2019-09-24,1.6485,1.6578,1.6452,1.6536
2019-09-23,1.655,1.658,1.6468,1.6486
2019-09-22,1.6532,1.6552,1.6518,1.655
2019-09-20,1.6601,1.6692,1.6533,1.6544
2019-09-19,1.6582,1.6638,1.6517,1.6601
2019-09-18,1.6557,1.6618,1.649,1.6582
2019-09-17,1.6451,1.6591,1.6414,1.6559
2019-09-16,1.6507,1.6538,1.6435,1.645
2019-09-15,1.6539,1.6553,1.6485,1.6507
2019-09-13,1.6289,1.6616,1.6285,1.6616
2019-09-12,1.627,1.6323,1.6223,1.6292
2019-09-11,1.6241,1.6298,1.6209,1.6271
2019-09-10,1.6256,1.6308,1.6208,1.6241
2019-09-09,1.6178,1.6298,1.6104,1.6257
2019-09-08,1.6164,1.6185,1.6152,1.6179
2019-09-06,1.6306,1.6317,1.6164,1.6175
2019-09-05,1.6194,1.6334,1.6133,1.6306
2019-09-04,1.6128,1.6279,1.6105,1.6194
2019-09-03,1.6081,1.6145,1.5956,1.6127
2019-09-02,1.6193,1.6211,1.6037,1.6079
2019-09-01,1.6186,1.6202,1.6165,1.6192
2019-08-30,1.6187,1.6242,1.6135,1.6175
2019-08-29,1.6257,1.6263,1.6177,1.6189
2019-08-28,1.6319,1.6344,1.6173,1.6258
2019-08-27,1.6196,1.6343,1.6158,1.6319
2019-08-26,1.6338,1.6349,1.618,1.6195
2019-08-25,1.6311,1.6341,1.6288,1.6338
2019-08-23,1.6288,1.6358,1.6234,1.6315
2019-08-22,1.6115,1.6312,1.6106,1.6286
2019-08-21,1.62,1.6205,1.6068,1.6114
2019-08-20,1.6155,1.6231,1.6084,1.6201
2019-08-19,1.6129,1.6183,1.6042,1.6156
2019-08-18,1.6125,1.6147,1.6105,1.6129
2019-08-16,1.6098,1.6194,1.6085,1.6118
2019-08-15,1.6057,1.6174,1.6026,1.6099
2019-08-14,1.5943,1.6078,1.5925,1.6059
2019-08-13,1.5986,1.6074,1.5923,1.5942
2019-08-12,1.5895,1.6023,1.5879,1.5987
2019-08-11,1.5933,1.5963,1.5879,1.5895
2019-08-09,1.6066,1.607,1.5873,1.5914
2019-08-08,1.6157,1.6183,1.6026,1.6066
2019-08-07,1.6157,1.623,1.6119,1.6156
2019-08-06,1.6063,1.6162,1.6013,1.6157
2019-08-05,1.6038,1.6098,1.6013,1.6063
2019-08-04,1.6042,1.607,1.6023,1.604
2019-08-02,1.6016,1.6091,1.5979,1.606
2019-08-01,1.6035,1.6084,1.5969,1.6016
2019-07-31,1.599,1.6095,1.5957,1.6034
2019-07-30,1.609,1.6094,1.596,1.599
2019-07-29,1.6302,1.6303,1.6065,1.6089
2019-07-28,1.6312,1.6312,1.628,1.6301
2019-07-26,1.639,1.6407,1.6285,1.6301
2019-07-25,1.6402,1.644,1.6363,1.639
2019-07-24,1.6337,1.6442,1.6319,1.6401
2019-07-23,1.6375,1.6396,1.6304,1.6337
2019-07-22,1.6325,1.6385,1.6254,1.6376
2019-07-21,1.633,1.6345,1.6291,1.6324
2019-07-19,1.6344,1.6411,1.6309,1.6325
2019-07-18,1.6226,1.6371,1.6219,1.6343
2019-07-17,1.6237,1.6254,1.6175,1.6225
2019-07-16,1.6332,1.6343,1.6143,1.6237
2019-07-15,1.6381,1.6387,1.6308,1.6331
2019-07-14,1.6372,1.6394,1.6354,1.6382
2019-07-12,1.637,1.6395,1.6314,1.6381
2019-07-11,1.6353,1.6422,1.6331,1.637
2019-07-10,1.6357,1.6426,1.6335,1.6353
2019-07-09,1.6395,1.64,1.6326,1.6357
2019-07-08,1.638,1.6396,1.6325,1.6395
2019-07-07,1.6361,1.6385,1.6354,1.6381
2019-07-05,1.6413,1.6445,1.6364,1.638
2019-07-04,1.6423,1.6461,1.6391,1.6415
2019-07-03,1.6506,1.6512,1.6399,1.6423
2019-07-02,1.6605,1.661,1.6494,1.6505
2019-07-01,1.662,1.6642,1.6545,1.6605
2019-06-30,1.6624,1.6624,1.6583,1.6618
2019-06-28,1.6595,1.6658,1.6577,1.6619
2019-06-27,1.6657,1.6707,1.6575,1.6596
2019-06-26,1.6719,1.673,1.6633,1.6657
2019-06-25,1.6787,1.6858,1.668,1.6719
2019-06-24,1.6833,1.6839,1.6769,1.6786
2019-06-23,1.6814,1.6841,1.6812,1.6831
2019-06-21,1.6759,1.6854,1.6674,1.6843
2019-06-20,1.6791,1.6821,1.6672,1.6757
2019-06-19,1.6797,1.6881,1.6768,1.6792
2019-06-18,1.6814,1.6832,1.6753,1.6797
2019-06-17,1.6884,1.6904,1.6801,1.6814
2019-06-16,1.6896,1.6896,1.6856,1.6883
2019-06-14,1.6894,1.6921,1.6829,1.6886
2019-06-13,1.6924,1.6931,1.6845,1.6895
2019-06-12,1.6896,1.6964,1.6864,1.6924
2019-06-11,1.6829,1.6933,1.6797,1.6897
2019-06-10,1.688,1.6893,1.6791,1.6829
2019-06-09,1.6848,1.6886,1.6839,1.6879
2019-06-07,1.6962,1.7007,1.6875,1.6894
2019-06-06,1.7031,1.7068,1.6941,1.6963
2019-06-05,1.7008,1.7064,1.6975,1.7031
2019-06-04,1.7026,1.7053,1.6981,1.7008
2019-06-03,1.7085,1.7114,1.6991,1.7027
2019-06-02,1.7068,1.7093,1.7055,1.7086
2019-05-31,1.7018,1.7097,1.7013,1.7062
2019-05-30,1.7063,1.7073,1.698,1.7016
2019-05-29,1.7075,1.7136,1.7042,1.7062
2019-05-28,1.7042,1.7088,1.7009,1.7077
2019-05-27,1.71,1.7125,1.7024,1.7043
2019-05-26,1.7091,1.7132,1.7083,1.7101
2019-05-25,1.7082,1.7082,1.7082,1.7082
2019-05-24,1.7059,1.711,1.7013,1.7082
2019-05-23,1.7009,1.7086,1.6959,1.706
2019-05-22,1.7023,1.7051,1.6901,1.7011
2019-05-21,1.709,1.7183,1.7014,1.7023
2019-05-20,1.7124,1.7141,1.7074,1.709
2019-05-19,1.7129,1.7137,1.7103,1.7123
2019-05-17,1.7224,1.7245,1.7098,1.7113
2019-05-16,1.7264,1.7275,1.7162,1.7224
2019-05-15,1.7372,1.7416,1.7244,1.7264
2019-05-14,1.746,1.7475,1.7365,1.7374
2019-05-13,1.7467,1.7519,1.7436,1.7461
2019-05-12,1.7438,1.7472,1.7437,1.7467
2019-05-10,1.7529,1.7549,1.7418,1.7434
2019-05-09,1.7528,1.7572,1.7486,1.7528
2019-05-08,1.7607,1.7613,1.7483,1.7528
2019-05-07,1.7611,1.763,1.7563,1.7606
2019-05-06,1.7714,1.7728,1.7592,1.7611
2019-05-05,1.7643,1.7722,1.7642,1.7715
2019-05-03,1.7552,1.7689,1.7494,1.7678
2019-05-02,1.7543,1.7582,1.7504,1.7552
2019-05-01,1.7455,1.7571,1.7437,1.7542
2019-04-30,1.7394,1.756,1.7391,1.7455
2019-04-29,1.739,1.7438,1.7368,1.7395
2019-04-28,1.7391,1.7398,1.737,1.739
2019-04-26,1.7387,1.7426,1.7354,1.7375
2019-04-25,1.7414,1.7428,1.7363,1.7385
2019-04-24,1.7372,1.7508,1.7365,1.7414
2019-04-23,1.7323,1.7444,1.7318,1.7372
2019-04-22,1.7385,1.739,1.7314,1.7324
2019-04-21,1.7398,1.7408,1.7372,1.7386
2019-04-19,1.7378,1.7412,1.7357,1.7397
2019-04-18,1.7406,1.743,1.7353,1.7378
2019-04-17,1.7418,1.7442,1.7313,1.7403
2019-04-16,1.7515,1.754,1.7408,1.7418
2019-04-15,1.7435,1.755,1.743,1.7515
2019-04-14,1.7434,1.7453,1.7413,1.7434
2019-04-12,1.7465,1.7494,1.7401,1.7402
2019-04-11,1.7429,1.752,1.7427,1.7465
2019-04-10,1.7403,1.747,1.7389,1.743
2019-04-09,1.7387,1.7448,1.7336,1.7403
2019-04-08,1.7437,1.7487,1.7357,1.7387
2019-04-07,1.7443,1.746,1.7425,1.7437
2019-04-05,1.7469,1.7527,1.7386,1.7459
2019-04-04,1.7574,1.7616,1.7435,1.7469
2019-04-03,1.7514,1.7581,1.7482,1.7573
2019-04-02,1.7407,1.7538,1.7326,1.7512
2019-04-01,1.738,1.7549,1.7334,1.7407
2019-03-31,1.7411,1.742,1.7367,1.7381
2019-03-29,1.7538,1.7635,1.7341,1.7398
2019-03-28,1.7637,1.7693,1.7505,1.7537
2019-03-27,1.7674,1.779,1.7629,1.7637
2019-03-26,1.77,1.7774,1.7623,1.7673
2019-03-25,1.7736,1.7792,1.7645,1.77
2019-03-24,1.7741,1.777,1.7696,1.7736
2019-03-22,1.7536,1.7742,1.7497,1.7722
2019-03-21,1.7541,1.7587,1.7419,1.7535
2019-03-20,1.7676,1.7685,1.7517,1.754
2019-03-19,1.767,1.7717,1.7558,1.7677
2019-03-18,1.7732,1.7747,1.7607,1.767
2019-03-17,1.7719,1.7743,1.7712,1.7733
2019-03-15,1.7657,1.7752,1.7555,1.7728
2019-03-14,1.7687,1.7745,1.7601,1.7658
2019-03-13,1.7466,1.7794,1.7447,1.7687
2019-03-12,1.7726,1.7761,1.7432,1.7465
2019-03-11,1.7423,1.7795,1.7388,1.7725
2019-03-10,1.7462,1.7462,1.7373,1.7423
2019-03-08,1.759,1.7637,1.742,1.7452
2019-03-07,1.7697,1.7723,1.7568,1.7592
2019-03-06,1.7561,1.7716,1.7541,1.7696
2019-03-05,1.7537,1.7604,1.7483,1.756
2019-03-04,1.7568,1.763,1.7515,1.7537
2019-03-03,1.7627,1.7637,1.7562,1.7567
2019-03-01,1.7463,1.7583,1.7354,1.7556
2019-02-28,1.7501,1.7552,1.7429,1.7462
2019-02-27,1.7454,1.7541,1.7416,1.7502
2019-02-26,1.7304,1.7519,1.7292,1.7454
2019-02-25,1.7146,1.7338,1.7138,1.7302
2019-02-24,1.7158,1.7177,1.7134,1.7149
2019-02-22,1.7239,1.7261,1.7129,1.7131
2019-02-21,1.719,1.7267,1.7155,1.724
2019-02-20,1.7257,1.7262,1.7153,1.7188
2019-02-19,1.7101,1.7296,1.7088,1.7256
2019-02-18,1.7096,1.7129,1.7054,1.71
2019-02-17,1.7124,1.715,1.7092,1.7096
2019-02-15,1.7015,1.7087,1.698,1.7072
2019-02-14,1.7036,1.7078,1.6971,1.7012
2019-02-13,1.7064,1.7142,1.7004,1.7036
2019-02-12,1.7107,1.7128,1.7034,1.7062
2019-02-11,1.7157,1.7193,1.7075,1.7108
2019-02-10,1.7176,1.7186,1.7146,1.7154
2019-02-08,1.7235,1.7273,1.7146,1.718
2019-02-07,1.7085,1.7274,1.7036,1.7233
2019-02-06,1.7007,1.7124,1.7,1.7087
2019-02-05,1.7102,1.7116,1.6982,1.7006
2019-02-04,1.7112,1.7218,1.7071,1.7105
2019-02-03,1.7125,1.7134,1.7096,1.7112
2019-02-01,1.721,1.7248,1.7083,1.7117
2019-01-31,1.7247,1.7291,1.7184,1.7209
2019-01-30,1.7356,1.738,1.7209,1.7246
2019-01-29,1.7437,1.7496,1.7317,1.7354
2019-01-28,1.7458,1.7497,1.7388,1.7436
2019-01-27,1.7425,1.7466,1.7411,1.7458
2019-01-25,1.7451,1.7528,1.7372,1.7435
2019-01-24,1.7454,1.7457,1.7372,1.7449
2019-01-23,1.73,1.7482,1.7248,1.7453
2019-01-22,1.715,1.7318,1.7131,1.7299
2019-01-21,1.7064,1.7157,1.7046,1.7145
2019-01-20,1.7068,1.71,1.7045,1.7064
2019-01-18,1.724,1.725,1.7062,1.7062
2019-01-17,1.7066,1.7274,1.7064,1.7241
2019-01-16,1.7062,1.7103,1.7008,1.7065
2019-01-15,1.7086,1.713,1.6835,1.7061
2019-01-14,1.7052,1.7138,1.7006,1.7084
2019-01-13,1.7025,1.7059,1.7024,1.7051
2019-01-11,1.6877,1.7061,1.6756,1.7025
