date,GBP/JPY_O,GBP/JPY_H,GBP/JPY_L,GBP/JPY_C
2019-12-08,142.65,142.91,142.44,142.66
2019-12-06,143.097,143.147,142.334,142.65
2019-12-05,142.629,143.252,142.58,143.09
2019-12-04,141.149,142.789,140.81,142.642
2019-12-03,141.13,141.715,140.89,141.158
2019-12-02,141.398,141.82,140.869,141.115
2019-12-01,141.41,141.5,141.26,141.398
2019-11-29,141.349,141.687,141.09,141.59
2019-11-28,141.8,141.801,141.22,141.349
2019-11-27,140.26,141.858,140.02,141.794
2019-11-26,140.523,140.903,139.96,140.239
2019-11-25,139.645,140.627,139.58,140.527
2019-11-24,139.63,139.84,139.503,139.646
2019-11-22,140.22,140.513,139.288,139.41
2019-11-21,140.19,140.927,139.95,140.203
2019-11-20,140.34,140.488,139.65,140.179
2019-11-19,140.713,140.935,140.09,140.298
2019-11-18,140.447,141.575,140.33,140.715
2019-11-17,140.35,140.69,140.35,140.448
2019-11-15,139.64,140.48,139.6,140.48
2019-11-14,139.8,139.86,139.37,139.623
2019-11-13,140.008,140.26,139.41,139.775
2019-11-12,140.17,140.59,139.92,140.008
2019-11-11,139.72,140.49,139.34,140.188
2019-11-10,139.54,139.82,139.54,139.693
2019-11-08,140.07,140.209,139.39,139.6
2019-11-07,140.062,140.535,139.47,140.047
2019-11-06,140.543,140.653,139.84,140.049
2019-11-05,139.89,140.75,139.85,140.554
2019-11-04,140.0,140.24,139.775,139.867
2019-11-03,140.01,140.1,139.846,139.993
2019-11-01,139.71,140.18,139.62,139.98
2019-10-31,140.39,140.689,139.58,139.712
2019-10-30,140.09,140.509,139.93,140.387
2019-10-29,140.1,140.536,139.44,140.044
2019-10-28,139.477,140.259,139.318,140.076
2019-10-27,139.375,139.53,139.232,139.475
2019-10-25,139.45,139.804,139.0,139.39
2019-10-24,140.33,140.74,138.84,139.448
2019-10-23,139.92,140.429,139.06,140.324
2019-10-22,140.79,141.124,139.49,139.913
2019-10-21,139.845,141.359,139.64,140.783
2019-10-20,140.19,140.532,139.46,139.839
2019-10-18,139.79,140.801,139.32,140.61
2019-10-17,139.34,141.505,138.6,139.79
2019-10-16,138.93,140.102,137.49,139.33
2019-10-15,136.625,139.317,136.43,138.921
2019-10-14,137.142,137.155,135.47,136.625
2019-10-13,136.81,137.35,136.54,137.142
2019-10-11,134.159,137.899,133.961,137.06
2019-10-10,130.772,134.56,130.7,134.158
2019-10-09,130.82,131.822,130.62,130.75
2019-10-08,131.77,132.121,130.4,130.819
2019-10-07,131.78,132.243,131.28,131.746
2019-10-06,131.51,131.81,131.202,131.775
2019-10-05,131.88,131.88,131.88,131.88
2019-10-04,131.853,131.992,131.25,131.88
2019-10-03,131.81,132.547,131.46,131.859
2019-10-02,132.385,132.553,131.55,131.805
2019-10-01,132.81,133.357,131.75,132.381
2019-09-30,132.6,133.338,132.45,132.807
2019-09-29,132.74,132.94,132.523,132.603
2019-09-27,132.881,133.281,132.29,132.62
2019-09-26,133.149,133.291,132.35,132.884
2019-09-25,133.802,134.012,132.81,133.149
2019-09-24,133.68,134.61,133.52,133.801
2019-09-23,134.31,134.548,133.32,133.674
2019-09-22,134.34,134.45,134.09,134.307
2019-09-20,135.28,135.75,134.055,134.23
2019-09-19,135.24,135.518,134.24,135.28
2019-09-18,135.16,135.664,134.57,135.236
2019-09-17,134.365,135.427,133.96,135.153
2019-09-16,134.72,134.77,133.85,134.34
2019-09-15,134.72,134.868,134.032,134.72
2019-09-13,133.41,135.2,133.28,135.2
2019-09-12,132.93,133.642,132.14,133.396
2019-09-11,132.831,133.37,132.65,132.93
2019-09-10,132.36,132.916,131.99,132.831
2019-09-09,131.319,132.56,130.78,132.355
2019-09-08,131.26,131.335,130.91,131.317
2019-09-06,131.93,132.128,131.213,131.29
2019-09-05,130.223,132.158,129.89,131.926
2019-09-04,128.106,130.437,127.92,130.223
2019-09-03,128.14,128.251,126.64,128.108
2019-09-02,129.05,129.317,127.85,128.132
2019-09-01,129.17,129.19,128.582,129.039
2019-08-31,129.27,129.27,129.27,129.27
2019-08-30,129.78,129.82,129.041,129.27
2019-08-29,129.52,130.034,128.94,129.751
2019-08-28,129.932,130.07,128.45,129.516
2019-08-27,129.68,130.385,128.98,129.91
