date,NZD/USD_O,NZD/USD_H,NZD/USD_L,NZD/USD_C
2019-12-08,0.6559,0.6561,0.6558,0.656
2019-12-07,0.6563,0.6563,0.6559,0.6559
2019-12-06,0.6542,0.6576,0.6537,0.6561
2019-12-05,0.6523,0.6562,0.6517,0.6542
2019-12-04,0.6516,0.6541,0.6499,0.6523
2019-12-03,0.6496,0.6533,0.6491,0.6515
2019-12-02,0.643,0.6511,0.6422,0.6496
2019-12-01,0.6423,0.6435,0.642,0.643
2019-11-30,0.6417,0.6417,0.6417,0.6417
2019-11-29,0.6416,0.6438,0.6405,0.6422
2019-11-28,0.6421,0.6431,0.6401,0.6416
2019-11-27,0.6426,0.6433,0.6411,0.6421
2019-11-26,0.642,0.6431,0.6401,0.6426
2019-11-25,0.6409,0.6429,0.6391,0.642
2019-11-24,0.641,0.6418,0.6402,0.6408
2019-11-23,0.6405,0.6405,0.6405,0.6405
2019-11-22,0.6402,0.6425,0.6396,0.6401
2019-11-21,0.6411,0.6437,0.6393,0.6402
2019-11-20,0.6429,0.6434,0.64,0.6411
2019-11-19,0.6394,0.6432,0.6378,0.6429
2019-11-18,0.6399,0.6412,0.6388,0.6394
2019-11-17,0.6403,0.641,0.6398,0.6398
2019-11-16,0.6397,0.6397,0.6396,0.6396
2019-11-15,0.6376,0.641,0.6369,0.6399
2019-11-14,0.6412,0.6419,0.6357,0.6376
2019-11-13,0.6332,0.642,0.6327,0.6411
2019-11-12,0.636,0.6368,0.632,0.633
2019-11-11,0.6326,0.6372,0.6326,0.6359
2019-11-10,0.6332,0.6341,0.6325,0.6327
2019-11-09,0.6325,0.6325,0.6325,0.6325
2019-11-08,0.6361,0.6382,0.6317,0.6328
2019-11-07,0.6364,0.6386,0.6339,0.6361
2019-11-06,0.638,0.6389,0.6356,0.6365
2019-11-05,0.639,0.6431,0.6368,0.638
2019-11-04,0.6432,0.6466,0.6388,0.639
2019-11-03,0.6424,0.6444,0.6424,0.6432
2019-11-01,0.6413,0.6456,0.6403,0.6426
2019-10-31,0.6409,0.6433,0.6388,0.6413
2019-10-30,0.6351,0.6413,0.6331,0.6409
2019-10-29,0.6347,0.6375,0.6335,0.6351
2019-10-28,0.6353,0.636,0.6332,0.6347
2019-10-27,0.6344,0.6358,0.6344,0.6352
2019-10-25,0.6379,0.6382,0.6344,0.6346
2019-10-24,0.6421,0.6425,0.6371,0.6379
2019-10-23,0.6409,0.6427,0.6382,0.6422
2019-10-22,0.6406,0.6436,0.6395,0.6409
2019-10-21,0.6382,0.6416,0.6378,0.6406
2019-10-20,0.6375,0.6384,0.6369,0.6382
2019-10-18,0.6346,0.6391,0.6345,0.6381
2019-10-17,0.6289,0.6355,0.628,0.6346
2019-10-16,0.6295,0.6299,0.6238,0.6289
2019-10-15,0.6301,0.6321,0.6255,0.6295
2019-10-14,0.6332,0.6334,0.6277,0.6303
2019-10-13,0.6329,0.6336,0.6325,0.6332
