date,USD/CAD_O,USD/CAD_H,USD/CAD_L,USD/CAD_C
2019-12-08,1.3255,1.3256,1.3247,1.3253
2019-12-07,1.3255,1.3255,1.3255,1.3255
2019-12-06,1.3179,1.327,1.3167,1.3255
2019-12-05,1.3198,1.3199,1.3154,1.3179
2019-12-04,1.3294,1.3298,1.3188,1.3198
2019-12-03,1.3307,1.3321,1.3281,1.3289
2019-12-02,1.3282,1.3309,1.3273,1.3307
2019-12-01,1.3275,1.3283,1.3269,1.3282
2019-11-29,1.3281,1.3314,1.3268,1.3275
2019-11-28,1.3283,1.3299,1.3274,1.328
2019-11-27,1.3271,1.329,1.3256,1.3284
2019-11-26,1.3298,1.3316,1.3263,1.327
2019-11-25,1.3295,1.3319,1.3282,1.3297
2019-11-24,1.3301,1.3302,1.329,1.3295
2019-11-22,1.3283,1.3302,1.3251,1.3301
2019-11-21,1.3307,1.3325,1.3265,1.3282
2019-11-20,1.3263,1.3328,1.3258,1.3306
2019-11-19,1.3203,1.3273,1.3186,1.3263
2019-11-18,1.3223,1.3235,1.3176,1.3204
2019-11-17,1.3218,1.3228,1.3211,1.3223
2019-11-15,1.3247,1.3252,1.3212,1.3218
2019-11-14,1.3253,1.3271,1.3237,1.3247
2019-11-13,1.3233,1.3268,1.3227,1.3253
2019-11-12,1.3232,1.3257,1.3211,1.3232
2019-11-11,1.3224,1.3235,1.3207,1.323
2019-11-10,1.3226,1.3226,1.3209,1.3224
2019-11-08,1.3174,1.3237,1.3165,1.3223
2019-11-07,1.3185,1.3199,1.3153,1.3174
2019-11-06,1.3149,1.3193,1.314,1.3185
2019-11-05,1.3154,1.3178,1.3107,1.3148
2019-11-04,1.314,1.3161,1.3124,1.3154
2019-11-03,1.3138,1.3144,1.3126,1.314
2019-11-01,1.3169,1.3196,1.3133,1.3133
2019-10-31,1.3161,1.3178,1.3133,1.3168
2019-10-30,1.3091,1.3208,1.3069,1.3161
2019-10-29,1.3057,1.31,1.3037,1.3091
2019-10-28,1.3059,1.3078,1.304,1.3057
2019-10-27,1.3052,1.3064,1.3049,1.3059
2019-10-25,1.3073,1.3077,1.305,1.3052
2019-10-24,1.3075,1.3093,1.305,1.3073
2019-10-23,1.309,1.311,1.3059,1.3075
2019-10-22,1.3089,1.3123,1.3065,1.3091
2019-10-21,1.3131,1.3137,1.3074,1.3089
2019-10-20,1.3124,1.3142,1.3124,1.313
2019-10-18,1.3138,1.3146,1.3115,1.3124
2019-10-17,1.3201,1.3212,1.3127,1.3138
2019-10-16,1.32,1.3233,1.318,1.3201
2019-10-15,1.3229,1.3239,1.319,1.3195
2019-10-14,1.3194,1.3239,1.319,1.3229
2019-10-13,1.3196,1.3204,1.3189,1.3194
2019-10-11,1.329,1.33,1.3166,1.3196
2019-10-10,1.3344,1.3346,1.3265,1.329
2019-10-09,1.3323,1.3346,1.3292,1.3344
2019-10-08,1.3308,1.3337,1.3284,1.3323
2019-10-07,1.3312,1.3331,1.3286,1.3308
2019-10-06,1.3315,1.3327,1.3304,1.3312
2019-10-05,1.3313,1.3313,1.3313,1.3313
2019-10-04,1.3334,1.3339,1.3295,1.3313
2019-10-03,1.3331,1.3348,1.3306,1.3332
2019-10-02,1.3221,1.3335,1.3201,1.3331
